##NAMES=Asgruvanite-(Ce)
##RRUFFID=R250147
##IDEAL CHEMISTRY=Ce_16_Ca_5_Al(SiO_4_)_6_(AsO_3_)_8_(CO_3_)_2_Cl_4_F_3_(OH)_2_
##LOCALITY=Åsgruvan Fe-skarn deposit, Norberg, Västmanland, Sweden
##OWNER=Swedish Museum of Natural History
##SOURCE=Dan Holtstam
##DESCRIPTION=Greyish green to nearly colourless anhedral, occasionally elongated grains.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250147
##MEASURED CHEMISTRY=[(Ce_4.89_Nd_3.36_Y_3.34_La_1.84_Pr_0.81_Sm_0.67_Gd_0.53_Dy_0.32_Er_0.15_Yb_0.08_Tb_0.07_Ho_0.06_Tm_0.02_Lu_0.01_)Ca_4.85_Pb_0.01_](Al_0.55_Fe_0.22_Cr_0.18_)(Si_6.00_P_0.06_)(As_3_C_7.95_Sb_3_C_0.04_)(C_1.88_S_4_C_0.12_)[(Cl_3.82_F_0.18_)(F_1.54_OH_1.46_)(OH)_2_] ; Based on 38 cations, with C calculated from (C+S)=2 apfu (atoms per formula unit) and OH from (Cl+F+OH)=9 apfu
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=515
   1382.780     ,   3947.000    
   1384.480     ,   3898.000    
   1386.190     ,   3933.000    
   1387.890     ,   3841.000    
   1389.600     ,   3923.000    
   1391.300     ,   3865.000    
   1393.010     ,   3885.000    
   1394.710     ,   3818.000    
   1396.410     ,   3835.000    
   1398.110     ,   3839.000    
   1399.820     ,   3813.000    
   1401.520     ,   3854.000    
   1403.220     ,   3789.000    
   1404.920     ,   3833.000    
   1406.620     ,   3812.000    
   1408.320     ,   3726.000    
   1410.020     ,   3725.000    
   1411.720     ,   3850.000    
   1413.420     ,   3776.000    
   1415.120     ,   3777.000    
   1416.820     ,   3761.000    
   1418.520     ,   3688.000    
   1420.220     ,   3752.000    
   1421.920     ,   3668.000    
   1423.620     ,   3721.000    
   1425.310     ,   3734.000    
   1427.010     ,   3706.000    
   1428.710     ,   3709.000    
   1430.400     ,   3645.000    
   1432.100     ,   3617.000    
   1433.800     ,   3616.000    
   1435.490     ,   3616.000    
   1437.190     ,   3618.000    
   1438.880     ,   3562.000    
   1440.570     ,   3638.000    
   1442.270     ,   3582.000    
   1443.960     ,   3548.000    
   1445.660     ,   3578.000    
   1447.350     ,   3617.000    
   1449.040     ,   3586.000    
   1450.730     ,   3600.000    
   1452.430     ,   3550.000    
   1454.120     ,   3470.000    
   1455.810     ,   3540.000    
   1457.500     ,   3519.000    
   1459.190     ,   3544.000    
   1460.880     ,   3592.000    
   1462.570     ,   3485.000    
   1464.260     ,   3511.000    
   1465.950     ,   3480.000    
   1467.640     ,   3446.000    
   1469.330     ,   3467.000    
   1471.020     ,   3483.000    
   1472.700     ,   3407.000    
   1474.390     ,   3475.000    
   1476.080     ,   3440.000    
   1477.760     ,   3451.000    
   1479.450     ,   3381.000    
   1481.140     ,   3425.000    
