##NAMES=Anorthite
##RRUFFID=R070598
##IDEAL CHEMISTRY=Ca(Al_2_Si_2_O_8_)
##LOCALITY=Eyscott Hill, Keswick, Cumberland, England
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Massive, greyish-green heterogenous aggregates on plagioclase matrix. Variety bytownite.
##STATUS=The identification of this mineral has been confirmed only by chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R070598
##MEASURED CHEMISTRY=Na_0.25_K_0.03_Ca_0.72_(Al_1.70_Fe^3+^_0.02_Si_2.28_)O_8_ ; light gray
##DIFFRACTION SAMPLE DESCRIPTION=Powder, with other plagioclase-series minerals
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1016.133, 1373.176
1018.062, 1372.052
1019.990, 1364.811
1021.919, 1357.314
1023.847, 1349.661
1025.776, 1345.938
1027.704, 1349.538
1029.632, 1352.768
1031.561, 1353.174
1033.489, 1354.368
1035.418, 1354.936
1037.346, 1358.868
1039.275, 1374.873
1041.203, 1383.674
1043.132, 1369.709
1045.060, 1361.565
1046.989, 1371.479
1048.917, 1383.479
1050.846, 1395.193
1052.774, 1403.667
1054.703, 1403.568
1056.631, 1407.497
1058.559, 1423.118
1060.488, 1437.251
1062.416, 1445.256
1064.345, 1452.373
1066.273, 1455.817
1068.202, 1465.319
1070.130, 1486.991
1072.059, 1509.950
1073.987, 1535.351
1075.916, 1555.063
1077.844, 1565.134
1079.773, 1571.321
1081.701, 1579.191
1083.630, 1576.402
1085.558, 1554.190
1087.486, 1531.617
1089.415, 1511.249
1091.343, 1493.614
1093.272, 1477.072
1095.200, 1467.365
1097.129, 1470.152
1099.057, 1469.436
1100.986, 1463.099
1102.914, 1454.172
1104.843, 1441.046
1106.771, 1428.789
1108.700, 1416.180
1110.628, 1406.343
1112.557, 1402.293
1114.485, 1396.653
1116.413, 1389.208
1118.342, 1378.979
1120.270, 1366.281
1122.199, 1352.275
1124.127, 1334.220
1126.056, 1320.494
1127.984, 1310.095
1129.913, 1308.917
1131.841, 1323.998
1133.770, 1316.823
1135.698, 1281.580
1137.627, 1258.220
1139.555, 1248.196
1141.484, 1240.947
1143.412, 1235.798
1145.340, 1226.138
1147.269, 1212.938
1149.197, 1201.750
1151.126, 1192.623
1153.054, 1189.491
1154.983, 1190.331
1156.911, 1182.645
1158.840, 1170.649
1160.768, 1168.960
1162.697, 1171.667
1164.625, 1167.516
1166.554, 1160.354
1168.482, 1151.063
1170.411, 1142.565
1172.339, 1143.208
1174.267, 1148.874
1176.196, 1155.500
1178.124, 1159.381
1180.053, 1156.543
1181.981, 1152.305
1183.910, 1148.328
1185.838, 1146.877
1187.767, 1151.694
1189.695, 1155.613
1191.624, 1154.746
1193.552, 1154.019
1195.481, 1157.453
1197.409, 1156.711
1199.338, 1145.851
1201.266, 1137.199
1203.194, 1133.814
1205.123, 1135.013
1207.051, 1141.052
1208.980, 1147.349
1210.908, 1154.741
1212.837, 1159.308
1214.765, 1159.373
1216.694, 1157.817
1218.622, 1155.481
1220.551, 1149.150
1222.479, 1139.493
1224.408, 1136.857
1226.336, 1140.585
1228.265, 1148.533
1230.193, 1157.980
1232.121, 1156.397
1234.050, 1150.703
1235.978, 1159.233
1237.907, 1171.914
1239.835, 1170.399
1241.764, 1163.585
1243.692, 1162.045
1245.621, 1167.014
1247.549, 1184.117
1249.478, 1196.660
1251.406, 1187.157
1253.335, 1179.632
1255.263, 1190.851
1257.192, 1200.866
1259.120, 1200.523
1261.048, 1199.684
1262.977, 1198.938
1264.905, 1202.268
1266.834, 1212.904
1268.762, 1220.725
1270.691, 1225.052
1272.619, 1226.597
1274.548, 1224.603
1276.476, 1227.943
1278.405, 1236.843
1280.333, 1238.088
1282.262, 1233.188
1284.190, 1228.701
1286.119, 1226.982
1288.047, 1239.118
1289.975, 1254.598
1291.904, 1255.880
1293.832, 1252.916
1295.761, 1253.922
1297.689, 1255.573
1299.618, 1254.804
1301.546, 1258.119
1303.475, 1271.232
1305.403, 1278.469
1307.332, 1272.103
1309.260, 1273.897
1311.189, 1291.859
1313.117, 1301.362
1315.046, 1295.112
1316.974, 1298.044
1318.902, 1314.062
1320.831, 1330.362
1322.759, 1345.399
1324.688, 1350.700
1326.616, 1349.786
1328.545, 1359.853
1330.473, 1373.490
1332.402, 1372.388
