##NAMES=Libyan Desert glass
##RRUFFID=R060357
##IDEAL CHEMISTRY=
##LOCALITY=Libyan Desert, Sahara Desert, Egypt
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Pale tan amorphous fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060357
##MEASURED CHEMISTRY=Si_1.00_O_2_
##DIFFRACTION SAMPLE DESCRIPTION=Powder, amorphous
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

926.4468, 92.68952
928.3752, 92.75420
930.3037, 93.27512
932.2322, 93.53317
934.1606, 93.46780
936.0891, 92.60718
938.0176, 91.62078
939.9460, 91.80867
941.8745, 92.73286
943.8030, 93.68197
945.7314, 94.46188
947.6599, 94.15128
949.5884, 93.24241
951.5168, 93.75613
953.4453, 95.36901
955.3738, 96.44508
957.3022, 97.03459
959.2307, 97.55265
961.1592, 97.97675
963.0876, 97.93303
965.0161, 97.44090
966.9446, 97.42981
968.8730, 97.90864
970.8015, 97.51171
972.7300, 96.21598
974.6584, 96.42538
976.5869, 98.21725
978.5154, 98.50769
980.4438, 97.14536
982.3723, 95.84984
984.3008, 94.72724
986.2292, 94.08134
988.1577, 93.95791
990.0862, 93.67474
992.0146, 93.14559
993.9431, 92.85900
995.8716, 92.88221
997.8000, 92.88284
999.7285, 92.76414
1001.657, 93.24557
1003.585, 94.47585
1005.514, 95.93617
1007.442, 97.67726
1009.371, 98.67306
1011.299, 100.2056
1013.228, 102.0463
1015.156, 102.9315
1017.085, 105.7179
1019.013, 107.3713
1020.942, 108.9208
1022.870, 110.2728
1024.799, 112.3380
1026.727, 114.2906
1028.656, 116.3212
1030.584, 119.2465
1032.512, 121.0777
1034.441, 124.5980
1036.369, 127.7536
1038.298, 130.1361
1040.226, 132.6857
1042.155, 136.2595
1044.083, 138.3945
1046.012, 137.0788
1047.940, 137.9173
1049.869, 142.8660
1051.797, 146.6457
1053.726, 148.9920
1055.654, 150.2277
1057.583, 149.8429
1059.511, 149.3870
1061.439, 148.4888
1063.368, 148.5417
1065.296, 150.3410
1067.225, 151.2672
1069.153, 150.8021
1071.082, 150.5538
1073.010, 150.7385
1074.939, 150.7381
1076.867, 150.5768
1078.796, 149.9231
1080.724, 148.5457
1082.653, 147.5277
1084.581, 146.9274
1086.510, 146.7669
1088.438, 147.2070
1090.366, 147.0981
1092.295, 146.3343
1094.223, 145.3853
1096.152, 144.1871
1098.080, 144.0481
1100.009, 145.1247
1101.937, 144.9497
1103.866, 143.4202
1105.794, 142.1190
1107.723, 141.0941
1109.651, 141.1635
1111.580, 142.2241
1113.508, 142.2124
1115.437, 141.2454
1117.365, 140.6160
1119.293, 140.3252
1121.222, 140.3591
1123.150, 140.6726
1125.079, 140.9273
1127.007, 141.3010
1128.936, 142.7001
1130.864, 144.6447
1132.793, 145.7821
1134.721, 146.3787
1136.650, 146.8714
1138.578, 147.4091
1140.507, 148.4180
1142.435, 149.5565
1144.364, 150.0036
1146.292, 150.4761
1148.220, 152.4342
1150.149, 154.4763
1152.077, 154.5302
1154.006, 154.2922
1155.934, 155.5192
1157.863, 157.1404
1159.791, 158.6368
1161.720, 159.6358
1163.648, 159.5077
1165.577, 159.3408
1167.505, 159.9798
1169.434, 160.4822
1171.362, 160.1155
1173.291, 159.9657
1175.219, 161.0096
1177.147, 161.3891
1179.076, 159.5411
1181.004, 158.7402
1182.933, 160.6280
1184.861, 161.8519
1186.790, 161.4519
1188.718, 161.4222
1190.647, 162.3729
1192.575, 162.6013
1194.504, 161.7222
1196.432, 161.1290
1198.361, 160.9047
1200.289, 160.4724
1202.218, 159.7845
1204.146, 159.5273
1206.074, 159.2284
1208.003, 159.4316
1209.931, 158.9300
1211.860, 158.7344
1213.788, 158.6954
1215.717, 158.1757
1217.645, 158.1365
1219.574, 157.5311
1221.502, 157.8278
1223.431, 157.7202
1225.359, 157.6158
1227.288, 158.3992
1229.216, 158.8557
1231.145, 157.4645
1233.073, 156.0284
1235.001, 155.6191
1236.930, 155.5891
1238.858, 156.1750
1240.787, 156.0479
1242.715, 154.2182
1244.644, 153.1781
1246.572, 153.7015
1248.501, 154.4900
1250.429, 155.4760
1252.358, 155.3555
1254.286, 153.8589
1256.215, 153.3919
1258.143, 154.1232
1260.072, 155.1354
1262.000, 156.2589
1263.928, 156.5676
1265.857, 156.4236
1267.785, 157.5139
1269.714, 159.0711
1271.642, 158.9904
1273.571, 158.5227
1275.499, 159.6293
1277.428, 161.3089
1279.356, 162.4041
1281.285, 163.6767
1283.213, 165.9478
1285.142, 168.2295
1287.070, 169.7895
1288.999, 171.5717
1290.927, 174.3118
1292.855, 176.5926
1294.784, 177.3382
1296.712, 179.2738
1298.641, 183.0774
1300.569, 186.6758
1302.498, 190.0971
1304.426, 192.7786
1306.355, 194.7542
1308.283, 197.5227
1310.212, 201.0462
1312.140, 205.6909
1314.069, 210.5987
1315.997, 213.6935
1317.926, 216.1329
1319.854, 219.1185
1321.782, 222.5008
1323.711, 226.0541
1325.639, 230.2071
1327.568, 235.5173
1329.496, 240.6948
1331.425, 245.2341
1333.353, 249.6674
1335.282, 254.0554
1337.210, 258.5709
1339.139, 263.1744
1341.067, 268.8778
1342.996, 273.7839
1344.924, 278.6695
1346.853, 284.5435
1348.781, 289.0826
1350.709, 294.3868
1352.638, 301.1425
1354.566, 307.9520
1356.495, 312.8172
1358.423, 317.1475
1360.352, 321.4217
1362.280, 326.6056
1364.209, 334.1448
1366.137, 340.3539
1368.066, 343.9427
1369.994, 347.6566
1371.923, 351.8915
1373.851, 356.3493
1375.780, 361.0703
1377.708, 367.1457
1379.636, 374.1989
1381.565, 380.4801
1383.493, 386.2304
1385.422, 391.9190
1387.350, 397.3862
1389.279, 402.0567
1391.207, 406.8791
1393.136, 412.4066
1395.064, 418.4450
1396.993, 426.0254
1398.921, 431.8194
1400.850, 437.6979
1402.778, 442.6622
1404.707, 447.1186
1406.635, 451.7013
1408.563, 456.4852
1410.492, 461.0083
1412.420, 465.5722
1414.349, 470.3846
1416.277, 474.2543
1418.206, 479.1176
1420.134, 484.3155
1422.063, 489.4508
1423.991, 494.6067
1425.920, 499.9400
1427.848, 504.9084
1429.777, 509.2545
1431.705, 513.6053
1433.634, 518.0071
1435.562, 522.4553
1437.490, 526.8869
1439.419, 530.9330
1441.347, 534.4837
1443.276, 537.0756
1445.204, 539.2868
1447.133, 541.9111
1449.061, 543.9735
1450.990, 546.0024
1452.918, 548.1553
1454.847, 549.2900
1456.775, 551.5447
1458.704, 552.1927
1460.632, 552.6195
1462.561, 553.1095
1464.489, 555.7773
1466.417, 556.1281
1468.346, 559.2642
1470.274, 558.7464
1472.203, 561.0889
1474.131, 563.1353
1476.060, 562.4333
1477.988, 562.5320
1479.917, 564.4522
1481.845, 566.1203
1483.774, 567.2927
1485.702, 566.8730
1487.631, 567.8726
1489.559, 567.9318
1491.488, 568.0411
1493.416, 567.9991
1495.344, 567.4650
1497.273, 567.0975
1499.201, 567.3650
1501.130, 567.9531
1503.058, 570.1929
1504.987, 570.2615
1506.915, 571.2179
1508.844, 573.0294
1510.772, 572.8568
1512.701, 573.9408
1514.629, 573.0958
1516.558, 574.8633
1518.486, 574.4965
1520.415, 574.5311
1522.343, 577.1517
1524.271, 579.0209
1526.200, 578.9510
1528.128, 578.8419
1530.057, 578.7244
1531.985, 579.3918
1533.914, 579.5551
1535.842, 580.7168
1537.771, 580.6993
1539.699, 581.0534
1541.628, 581.9808
1543.556, 584.0850
1545.485, 585.2712
1547.413, 586.5631
1549.342, 588.1656
1551.270, 588.9607
1553.198, 591.0089
1555.127, 592.0908
1557.055, 593.6282
1558.984, 595.0580
1560.912, 595.3962
1562.841, 596.1319
1564.769, 598.1195
1566.698, 599.6423
1568.626, 600.1049
1570.555, 603.4814
1572.483, 606.4302
1574.412, 612.7241
1576.340, 614.8708
1578.269, 620.0070
1580.197, 625.3157
1582.125, 628.0974
1584.054, 630.9298
1585.982, 634.5319
1587.911, 638.1981
1589.839, 641.8660
1591.768, 647.1775
1593.696, 653.1487
1595.625, 655.9855
