##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

1720.161, 1426.356
1722.089, 1424.742
1724.017, 1437.507
1725.946, 1442.613
1727.874, 1434.381
1729.803, 1423.590
1731.731, 1414.346
1733.660, 1425.596
1735.588, 1431.962
1737.517, 1394.285
1739.445, 1391.991
1741.374, 1443.126
1743.302, 1433.715
1745.231, 1382.970
1747.159, 1358.540
1749.088, 1353.355
1751.016, 1374.934
1752.944, 1383.919
1754.873, 1374.601
1756.801, 1366.716
1758.730, 1360.470
1760.658, 1352.140
1762.587, 1346.122
1764.515, 1349.045
1766.444, 1343.964
1768.372, 1330.616
1770.301, 1346.047
1772.229, 1365.788
1774.158, 1337.349
1776.086, 1312.389
1778.015, 1324.581
1779.943, 1327.538
1781.871, 1319.290
1783.800, 1298.714
1785.728, 1283.228
1787.657, 1300.102
1789.585, 1315.447
1791.514, 1318.641
1793.442, 1312.318
1795.371, 1299.607
1797.299, 1288.977
1799.228, 1284.149
1801.156, 1291.708
1803.085, 1298.323
1805.013, 1301.863
1806.942, 1305.951
1808.870, 1302.852
1810.798, 1268.787
1812.727, 1241.245
1814.655, 1241.733
1816.584, 1242.640
1818.512, 1242.957
1820.441, 1261.186
1822.369, 1275.422
1824.298, 1261.086
1826.226, 1248.670
1828.155, 1247.643
1830.083, 1249.629
1832.012, 1250.306
1833.940, 1233.172
1835.869, 1217.670
1837.797, 1216.398
1839.725, 1202.290
1841.654, 1177.075
1843.582, 1194.793
1845.511, 1219.049
1847.439, 1209.806
1849.368, 1195.103
1851.296, 1181.519
1853.225, 1173.870
1855.153, 1171.510
1857.082, 1176.514
1859.010, 1180.802
1860.939, 1182.113
1862.867, 1169.056
1864.796, 1147.512
1866.724, 1158.236
1868.652, 1170.707
1870.581, 1153.135
1872.509, 1141.401
1874.438, 1139.818
1876.366, 1149.609
1878.295, 1159.559
1880.223, 1148.498
1882.152, 1130.162
1884.080, 1107.699
1886.009, 1109.250
1887.937, 1123.773
1889.866, 1122.807
1891.794, 1120.023
1893.723, 1125.399
1895.651, 1121.805
1897.579, 1109.078
1899.508, 1090.890
1901.436, 1079.957
1903.365, 1096.805
1905.293, 1101.820
1907.222, 1091.738
1909.150, 1084.132
1911.079, 1078.557
1913.007, 1080.433
1914.936, 1076.896
1916.864, 1061.992
1918.793, 1061.010
1920.721, 1067.154
1922.650, 1071.889
1924.578, 1068.243
1926.506, 1047.362
1928.435, 1047.647
1930.363, 1057.261
1932.292, 1044.156
1934.220, 1032.241
1936.149, 1032.033
1938.077, 1024.315
1940.006, 1014.032
1941.934, 1017.468
1943.863, 1014.502
1945.791, 990.2237
1947.720, 988.3254
1949.648, 1002.742
1951.577, 1003.897
1953.505, 994.8751
1955.433, 972.1541
1957.362, 973.4166
1959.290, 994.3696
1961.219, 990.9804
1963.147, 984.1754
1965.076, 988.5927
1967.004, 993.3616
1968.933, 995.0275
1970.861, 976.1454
1972.790, 957.2294
1974.718, 957.4644
1976.647, 956.8361
