##NAMES=Fluorsigaiite
##RRUFFID=R250047
##IDEAL CHEMISTRY=Ca_2_Sr_3_(PO_4_)_3_F
##LOCALITY=Saima alkaline complex, Liaoning Province, China
##OWNER=Geological Museum of China
##SOURCE=Bin Wu
##DESCRIPTION=Individual prismatic, columnar and platy translucent to transparent, colourless crystals associated with microcline, nepheline, aegirine, natrolite, eudialyte, fluorapatite, stronadelphite and calcite. Type sample described in Wu et al (2022)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250047
##MEASURED CHEMISTRY=(Sr_2.82_Ca_1.79_Na_0.16_La_0.15_Ce_0.09_Pr_0.01_Nd_0.01_Gd_0.01_)P_2.97_O_12_[F_0.66_(OH)_0.34_] ; Calculated on the basis of 13 total anions per formula unit and F+(OH) = 1
##DIFFRACTION SAMPLE DESCRIPTION=Powder, profile is calculated
##CELL PARAMETERS=a: 9.6005 b: 9.6005 c: 7.1119 alpha: 90 beta: 90 gamma: 120 volume: 567.67 crystal system: hexagonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

X,Y
1576.1,1117.36
1577.48,1070.39
1578.86,1154.05
1580.24,1067.14
1581.62,1165.35
1582.99,1131.06
1584.37,1122.18
1585.75,1149.62
1587.12,1128.03
1588.5,1151.85
1589.88,1133.88
1591.25,1103.18
1592.63,1121.56
1594,1143.57
1595.38,1098.31
1596.75,1136.7
1598.13,1107.8
1599.5,1124.37
1600.88,1137.31
1602.25,1113.85
1603.62,1101.3
1605,1123.34
1606.37,1116.26
1607.74,1103.71
1609.12,1145.8
1610.49,1147.82
1611.86,1080.6
1613.23,1162.81
1614.6,1048.17
1615.98,1070.24
1617.35,1125.13
1618.72,1103.44
1620.09,1085.4
1621.46,1089.24
1622.83,1127.75
1624.2,1091.45
1625.57,1093.47
1626.94,1102.79
1628.31,1102.98
1629.68,1064.82
1631.04,1079.62
1632.41,1110.88
1633.78,1111.07
1635.15,1142.34
1636.52,1084.04
1637.89,1067.78
1639.25,1108.2
1640.62,1077.3
1641.99,1097.61
1643.35,1048.41
1644.72,1116.3
1646.09,1096.37
1647.45,1083.74
1648.82,1065.63
1650.18,1053
1651.55,1060.51
1652.91,1093.67
1654.28,1106.69
1655.64,1053.74
1657.01,1059.42
1658.37,1118.27
1659.73,1109.3
1661.1,1089.33
1662.46,1124.37
1663.82,1084.21
1665.19,1108.25
1666.55,1121.29
1667.91,1044.4
1669.27,1037.24
1670.63,1072.31
1672,1055.97
1673.36,1092.89
1674.72,1140.85
1676.08,1120.84
1677.44,1049.36
1678.8,1088.15
1680.16,1068.12
1681.52,1055.43
1682.88,1081.37
1684.24,1068.68
1685.6,1105.66
1686.96,1166.58
1688.32,1107.89
1689.67,1128.34
1691.03,1130.38
1692.39,1108.48
1693.75,1116.04
1695.11,1107.03
1696.46,1162.49
1697.82,1162.7
1699.18,1138.94
1700.53,1146.51
1701.89,1113.53
1703.25,1126.64
1704.6,1110.24
1705.96,1145.48
1707.31,1208.41
1708.67,1138.5
1710.02,1225.44
1711.38,1190.58
1712.73,1216.64
1714.09,1205.78
1715.44,1187.52
1716.79,1208.05
1718.15,1272.92
1719.5,1226.95
1720.85,1262.28
1722.21,1262.5
1723.56,1271.97
1724.91,1246.3
1726.26,1253.92
1727.61,1254.14
1728.97,1213.66
1730.32,1315.64
1731.67,1288.11
1733.02,1288.34
1734.37,1323.74
1735.72,1290.65
1737.07,1314.95
1738.42,1270.72
1739.77,1333.94
1741.12,1273.02
1742.47,1334.41
1743.82,1336.49
1745.16,1286.67
1746.51,1314.71
1747.86,1285.27
1749.21,1326.3
1750.56,1315.4
1751.9,1378.73
1753.25,1336.28
1754.6,1353.22
1755.95,1333.04
1757.29,1312.84
1758.64,1340.93
1759.98,1357.89
1761.33,1374.85
1762.68,1428.98
1764.02,1388.34
1765.37,1414.61
1766.71,1373.95
1768.06,1480.19
1769.4,1430.23
1770.74,1441.64
1772.09,1400.96
1773.43,1412.37
