##NAMES=Miyawakiite-(Y)
##RRUFFID=R250122
##IDEAL CHEMISTRY=[box]Y_4_Fe_2_(Si_8_O_20_)(CO_3_)_4_(H_2_O)_3_
##LOCALITY=Suishoyama, Kawamata, Fukushima, Japan
##OWNER=National Museum of Nature and Science, Tsukuba, Japan
##SOURCE=Daisuke Nishio-Hamane
##DESCRIPTION=Transparent  pale-yellow tiny crystals of granular, plate-like, or columnar shape. Type sample, described in Nishio-Hamane et al (2024)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250122
##MEASURED CHEMISTRY=([box]_0.70_K_0.30_)(Y_2.95_Dy_0.21_Yb_0.12_Er_0.10_Gd_0.08_Sm_0.02_Tb_0.01_Ca_0.33_)(Fe^2+^_1.14_Mg_0.48_Mn_0.24_)Si_8_C_4_O_31.42_[(H_2_O)_2.70_(OH)_0.30_] ; Calculated on the basis of 4 C and 8 Si atoms per formula unit (apfu)
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated
##CELL PARAMETERS=a: 17.53637 b: 17.53637 c: 9.55702 alpha: 90 beta: 90 gamma: 90 volume: 2939.02 crystal system: tetragonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532


#Wave,#Intensity
1685.13477,76114
1686.73438,76474.03906
1688.33398,76516.15625
1689.93359,77032.39844
1691.5332,76449.0625
1693.13281,76367.59375
1694.73047,76531.78125
1696.33008,76850.59375
1697.92773,76951.5625
1699.52539,76846.92188
1701.12305,77227.84375
1702.7207,77103.09375
1704.31641,76832.85156
1705.91406,76995.79688
1707.50977,76463.82031
1709.10547,76855.88281
1710.70117,76899.6875
1712.29492,76898.58594
1713.89063,76937.76563
1715.48438,76984.70313
1717.07813,77419.09375
1718.67188,76746.89063
1720.26563,77479.08594
1721.85938,77409.85156
1723.45117,77390.21094
1725.04492,77297.64844
1726.63672,77979.33594
1728.22852,77734.75
1729.82031,78056.66406
1731.41016,77739
1733.00195,77582.71875
1734.5918,77361.125
1736.18164,77501.42969
1737.77148,77500.38281
1739.36133,77490
1740.95117,77468.72656
1742.53906,77394.57813
1744.12891,77365.49219
1745.7168,77295.94531
1747.30469,77184.35938
1748.89258,76945.10938
1750.47852,77543.17188
1752.06641,77352.14844
1753.65234,77427.32031
1755.23828,76888.86719
1756.82422,77146.23438
1758.41016,77106.09375
1759.99609,77634.77344
1761.58008,77605.61719
1763.16406,76896.67969
1764.74805,77333.625
1766.33203,77280.97656
1767.91602,77041.10156
1769.5,77852.82813
1771.08203,77430.35156
1772.66602,77664.89844
1774.24805,77766.82031
1775.83008,77447.13281
1777.41016,77424.07813
1778.99219,77440.07031
1780.57422,77893.61719
1782.1543,77187.60938
1783.73438,77469.3125
1785.31445,77704.21875
1786.89453,77612.35156
1788.47266,77728.49219
1790.05273,77434.75
1791.63086,77320.84375
1793.20898,77832.99219
1794.78711,77953.94531
1796.36523,77825.97656
1797.94336,77583.61719
1799.51953,77844
1801.0957,77676.74219
1802.67188,77531.35156
1804.24805,78047.38281
1805.82422,78170.09375
1807.40039,78219.14844
1808.97461,78042.35938
1810.55078,78028.64844
1812.125,77671.29688
1813.69922,78067.11719
1815.27148,77703.32813
1816.8457,77939.16406
1818.41797,78233.19531
1819.99219,78235.1875
1821.56445,77897.82813
1823.13672,77733.17188
1824.70898,78247.42188
1826.2793,78112.63281
1827.85156,77863.00781
1829.42188,78119.67188
1830.99219,78404.75
1832.5625,78037.00781
